"geogConcat","metric","breakdown","subgroup","value","valueText"
"Black Country LEP","achievements","Age","19-24",1,"7020"
"Black Country LEP","achievements","Age","25+",1,"21230"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Age","19-24",1,"5350"
"Brighton and Hove, East Sussex, West Sussex LSIP","achievements","Age","25+",1,"20290"
"Buckinghamshire LEP","achievements","Age","19-24",1,"1520"
"Buckinghamshire LEP","achievements","Age","25+",1,"6210"
"Buckinghamshire LSIP","achievements","Age","19-24",1,"1520"
"Buckinghamshire LSIP","achievements","Age","25+",1,"6210"
"Cambridgeshire and Peterborough LSIP","achievements","Age","19-24",1,"2840"
"Cambridgeshire and Peterborough LSIP","achievements","Age","25+",1,"9130"
"Cambridgeshire and Peterborough MCA","achievements","Age","19-24",1,"2840"
"Cambridgeshire and Peterborough MCA","achievements","Age","25+",1,"9130"
"Cheshire and Warrington LEP","achievements","Age","19-24",1,"3210"
"Cheshire and Warrington LEP","achievements","Age","25+",1,"10760"
"Cheshire and Warrington LSIP","achievements","Age","19-24",1,"3210"
"Cheshire and Warrington LSIP","achievements","Age","25+",1,"10760"
"Coast to Capital LEP","achievements","Age","19-24",1,"4690"
"Coast to Capital LEP","achievements","Age","25+",1,"17890"
"Cornwall and Isles of Scilly LEP","achievements","Age","19-24",1,"2040"
"Cornwall and Isles of Scilly LEP","achievements","Age","25+",1,"7900"
"Cornwall and the Isles of Scilly LSIP","achievements","Age","19-24",1,"2040"
"Cornwall and the Isles of Scilly LSIP","achievements","Age","25+",1,"7900"
"Coventry and Warwickshire LEP","achievements","Age","19-24",1,"3620"
"Coventry and Warwickshire LEP","achievements","Age","25+",1,"11890"
"Cumbria LEP","achievements","Age","19-24",1,"2280"
"Cumbria LEP","achievements","Age","25+",1,"5980"
"Cumbria LSIP","achievements","Age","19-24",1,"2280"
"Cumbria LSIP","achievements","Age","25+",1,"5980"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Age","19-24",1,"9420"
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","achievements","Age","25+",1,"34020"
"Derbyshire and Nottinghamshire LSIP","achievements","Age","19-24",1,"9420"
"Derbyshire and Nottinghamshire LSIP","achievements","Age","25+",1,"34020"
"Dorset LEP","achievements","Age","19-24",1,"2910"
"Dorset LEP","achievements","Age","25+",1,"8680"
"Dorset LSIP","achievements","Age","19-24",1,"5440"
"Dorset LSIP","achievements","Age","25+",1,"17230"
"England","achievements","Age","19-24",1,"234970"
"England","achievements","Age","25+",1,"859140"
"Enterprise M3 LEP","achievements","Age","19-24",1,"4360"
"Enterprise M3 LEP","achievements","Age","25+",1,"18100"
"Enterprise M3 LEP (including all of Surrey) LSIP","achievements","Age","19-24",1,"2880"
"Enterprise M3 LEP (including all of Surrey) LSIP","achievements","Age","25+",1,"13790"
"Essex, Southend-on-Sea and Thurrock LSIP","achievements","Age","19-24",1,"5870"
"Essex, Southend-on-Sea and Thurrock LSIP","achievements","Age","25+",1,"20640"
"Gloucestershire LEP","achievements","Age","19-24",1,"2160"
"Gloucestershire LEP","achievements","Age","25+",1,"7780"
"Gloucestershire LSIP","achievements","Age","19-24",1,"2160"
"Gloucestershire LSIP","achievements","Age","25+",1,"7780"
"Greater Birmingham and Solihull LEP","achievements","Age","19-24",1,"10600"
"Greater Birmingham and Solihull LEP","achievements","Age","25+",1,"32910"
"Greater Cambridge and Greater Peterborough LEP","achievements","Age","19-24",1,"2840"
"Greater Cambridge and Greater Peterborough LEP","achievements","Age","25+",1,"9130"
"Greater Lincolnshire LEP","achievements","Age","19-24",1,"4790"
"Greater Lincolnshire LEP","achievements","Age","25+",1,"17710"
"Greater Lincolnshire LSIP","achievements","Age","19-24",1,"4790"
"Greater Lincolnshire LSIP","achievements","Age","25+",1,"17710"
"Greater London Authority MCA","achievements","Age","19-24",1,"35010"
"Greater London Authority MCA","achievements","Age","25+",1,"185330"
"Greater London LSIP","achievements","Age","19-24",1,"35010"
"Greater London LSIP","achievements","Age","25+",1,"185330"
